Ip (A),Eprot (MeV),Integral PS,Integral NF,Integral PVT
1.0000000000000001e-11,1.0,0.0001250173619135351,0.00044334204558076074,0.0001630684997204971
1.0000000000000001e-11,1.1919191919191918,0.0001490105929878499,0.0005284278927124217,0.00019436447441432988
1.0000000000000001e-11,1.3838383838383839,0.00017300382406216472,0.000613513739844083,0.0002256604491081627
1.0000000000000001e-11,1.5757575757575757,0.00019699705513647955,0.000698599586975744,0.0002569564238019954
1.0000000000000001e-11,1.7676767676767677,0.00022099028621079436,0.0007836854341074053,0.0002882523984958282
1.0000000000000001e-11,1.9595959595959596,0.0002449835172851092,0.0008687712812390666,0.000319548373189661
1.0000000000000001e-11,2.1515151515151514,0.00026897674835942394,0.0009538571283707273,0.00035084434788349366
1.0000000000000001e-11,2.3434343434343434,0.0002929699794337388,0.0010389429755023889,0.0003821403225773266
1.0000000000000001e-11,2.5353535353535355,0.0003169632105080537,0.00112402882263405,0.00041343629727115934
1.0000000000000001e-11,2.727272727272727,0.0003409564415823685,0.001209114669765711,0.0004447322719649921
1.0000000000000001e-11,2.919191919191919,0.0003649496726566832,0.0012942005168973723,0.0004760282466588248
1.0000000000000001e-11,3.111111111111111,0.000388942903730998,0.0013792863640290332,0.0005073242213526576
1.0000000000000001e-11,3.3030303030303028,0.0004129361348053129,0.0014643722111606944,0.0005386201960464905
2.0000000000000002e-11,1.0,0.0002500347238270702,0.0008866840911615215,0.0003261369994409942
2.0000000000000002e-11,1.1919191919191918,0.0002980211859756998,0.0010568557854248434,0.00038872894882865976
2.0000000000000002e-11,1.3838383838383839,0.00034600764812432944,0.001227027479688166,0.0004513208982163254
2.0000000000000002e-11,1.5757575757575757,0.0003939941102729591,0.001397199173951488,0.0005139128476039908
3e-11,1.0,0.0003750520857406053,0.0013300261367422822,0.0004892054991614914
